file_name,field,llm_value,rules_value,llm_normalized,rules_normalized,match,severity,notes
batch1-0344.jpg,seller_tax_id,991-83-4896,991-83-4896,991-83-4896,991-83-4896,True,,
batch1-0344.jpg,client_name,Molina Inc,Molina Inc,Molina Inc,Molina Inc,True,,
batch1-0344.jpg,client_tax_id,936-85-0485,936-85-0485,936-85-0485,936-85-0485,True,,
batch1-0344.jpg,invoice_number,85473134,85473134,85473134,85473134,True,,
batch1-0344.jpg,invoice_date,04/24/2017,04/24/2017,2017-04-24,2017-04-24,True,,
batch1-0344.jpg,net_worth,"808,87","808,87",808.87,808.87,True,,
batch1-0344.jpg,vat,"80,89","80,89",80.89,80.89,True,,
batch1-0344.jpg,gross_worth,"889,76","889,76",889.76,889.76,True,,
batch1-0345.jpg,seller_name,Jones and Sons,Jones and Sons,Jones and Sons,Jones and Sons,True,,
batch1-0345.jpg,seller_tax_id,952-76-3987,952-76-3987,952-76-3987,952-76-3987,True,,
batch1-0345.jpg,client_name,Hamilton-Simmons,Hamilton-Simmons,Hamilton-Simmons,Hamilton-Simmons,True,,
batch1-0345.jpg,client_tax_id,992-84-7640,992-84-7640,992-84-7640,992-84-7640,True,,
batch1-0345.jpg,invoice_number,92919413,92919413,92919413,92919413,True,,
batch1-0345.jpg,invoice_date,10/04/2020,10/04/2020,2020-10-04,2020-10-04,True,,
batch1-0345.jpg,net_worth,"5 992,66","5 992,66",5992.66,5992.66,True,,
batch1-0345.jpg,vat,"599,27","599,27",599.27,599.27,True,,
batch1-0345.jpg,gross_worth,"6 591,93","6 591,93",6591.93,6591.93,True,,
batch1-0346.jpg,seller_name,"Moran, Harris and Smith","Moran, Harris and Smith","Moran, Harris and Smith","Moran, Harris and Smith",True,,
batch1-0346.jpg,seller_tax_id,907-77-8712,907-77-8712,907-77-8712,907-77-8712,True,,
batch1-0346.jpg,client_name,Hughes-Raymond,Hughes-Raymond,Hughes-Raymond,Hughes-Raymond,True,,
batch1-0346.jpg,client_tax_id,934-84-4841,934-84-4841,934-84-4841,934-84-4841,True,,
batch1-0346.jpg,invoice_number,49380136,49380136,49380136,49380136,True,,
batch1-0346.jpg,invoice_date,02/21/2019,02/21/2019,2019-02-21,2019-02-21,True,,
batch1-0346.jpg,net_worth,"$ 173,29","173,29",173.29,173.29,True,,formatting_only
batch1-0346.jpg,vat,"$ 17,33","17,33",17.33,17.33,True,,formatting_only
batch1-0346.jpg,gross_worth,"$ 190,62","190,62",190.62,190.62,True,,formatting_only
batch1-0347.jpg,seller_name,"Henderson, Brown and Carson","Henderson, Brown and Carson","Henderson, Brown and Carson","Henderson, Brown and Carson",True,,
batch1-0347.jpg,seller_tax_id,975-87-2875,975-87-2875,975-87-2875,975-87-2875,True,,
batch1-0347.jpg,client_name,"Brown, Dodson and Weaver","Brown, Dodson and Weaver","Brown, Dodson and Weaver","Brown, Dodson and Weaver",True,,
batch1-0347.jpg,client_tax_id,981-79-3397,981-79-3397,981-79-3397,981-79-3397,True,,
batch1-0347.jpg,invoice_number,89042780,89042780,89042780,89042780,True,,
batch1-0347.jpg,invoice_date,10/16/2015,10/16/2015,2015-10-16,2015-10-16,True,,
batch1-0347.jpg,net_worth,"1908,56","1908,56",1908.56,1908.56,True,,
batch1-0347.jpg,vat,"190,86","190,86",190.86,190.86,True,,
batch1-0347.jpg,gross_worth,"2099,42","2 099,42",2099.42,2099.42,True,,formatting_only
batch1-0348.jpg,seller_name,Miller Inc,Miller Inc,Miller Inc,Miller Inc,True,,
batch1-0348.jpg,seller_tax_id,938-92-9047,938-92-9047,938-92-9047,938-92-9047,True,,
batch1-0348.jpg,client_name,Conley-Irwin,Conley-Irwin,Conley-Irwin,Conley-Irwin,True,,
batch1-0348.jpg,client_tax_id,997-98-1436,997-98-1436,997-98-1436,997-98-1436,True,,
batch1-0348.jpg,invoice_number,50956755,50956755,50956755,50956755,True,,
batch1-0348.jpg,invoice_date,09/06/2019,09/06/2019,2019-09-06,2019-09-06,True,,
batch1-0348.jpg,net_worth,"29 049,84","29 049,84",29049.84,29049.84,True,,
batch1-0348.jpg,vat,"2 904,98","2 904,98",2904.98,2904.98,True,,
batch1-0348.jpg,gross_worth,"31 954,82","31 954,82",31954.82,31954.82,True,,
batch1-0349.jpg,seller_name,"Hernandez, Barber and Jones","Hernandez, Barber and Jones","Hernandez, Barber and Jones","Hernandez, Barber and Jones",True,,
batch1-0349.jpg,seller_tax_id,934-99-4537,934-99-4537,934-99-4537,934-99-4537,True,,
batch1-0349.jpg,client_name,Hall-Skinner,Hall-Skinner,Hall-Skinner,Hall-Skinner,True,,
batch1-0349.jpg,client_tax_id,944-87-7634,944-87-7634,944-87-7634,944-87-7634,True,,
batch1-0349.jpg,invoice_number,39571754,39571754,39571754,39571754,True,,
batch1-0349.jpg,invoice_date,07/03/2013,07/03/2013,2013-07-03,2013-07-03,True,,
batch1-0349.jpg,net_worth,"6 950,20","6 950,20",6950.20,6950.20,True,,
batch1-0349.jpg,vat,"695,02","695,02",695.02,695.02,True,,
batch1-0349.jpg,gross_worth,"7 645,22","7 645,22",7645.22,7645.22,True,,
batch1-0350.jpg,seller_name,Daniel-Benson,Daniel-Benson,Daniel-Benson,Daniel-Benson,True,,
batch1-0350.jpg,seller_tax_id,991-85-2472,991-85-2472,991-85-2472,991-85-2472,True,,
batch1-0350.jpg,client_name,"Mcdonald, Jordan and Malone","Mcdonald, Jordan and Malone","Mcdonald, Jordan and Malone","Mcdonald, Jordan and Malone",True,,
batch1-0350.jpg,client_tax_id,925-92-0610,925-92-0610,925-92-0610,925-92-0610,True,,
batch1-0350.jpg,invoice_number,39077025,39077025,39077025,39077025,True,,
batch1-0350.jpg,invoice_date,12/15/2011,12/15/2011,2011-12-15,2011-12-15,True,,
batch1-0350.jpg,net_worth,"3 546,94","3 546,94",3546.94,3546.94,True,,
batch1-0350.jpg,vat,"354,69","354,69",354.69,354.69,True,,
batch1-0350.jpg,gross_worth,"3 901,63","3 901,63",3901.63,3901.63,True,,
batch1-0351.jpg,seller_name,Poole-Boyle,Poole-Boyle,Poole-Boyle,Poole-Boyle,True,,
batch1-0351.jpg,seller_tax_id,938-78-7124,938-78-7124,938-78-7124,938-78-7124,True,,
batch1-0351.jpg,client_name,"Ray, Hurst and Cruz","Ray, Hurst and Cruz","Ray, Hurst and Cruz","Ray, Hurst and Cruz",True,,
batch1-0351.jpg,client_tax_id,924-90-5219,924-90-5219,924-90-5219,924-90-5219,True,,
batch1-0351.jpg,invoice_number,77015917,77015917,77015917,77015917,True,,
batch1-0351.jpg,invoice_date,12/21/2017,12/21/2017,2017-12-21,2017-12-21,True,,
batch1-0351.jpg,net_worth,"99,95","99,95",99.95,99.95,True,,
batch1-0351.jpg,vat,"9,99","9,99",9.99,9.99,True,,
batch1-0351.jpg,gross_worth,"109,94","109,94",109.94,109.94,True,,
batch1-0352.jpg,seller_name,Fernandez LLC,Fernandez LLC,Fernandez LLC,Fernandez LLC,True,,
batch1-0352.jpg,seller_tax_id,984-86-2338,984-86-2338,984-86-2338,984-86-2338,True,,
batch1-0352.jpg,client_name,Brown-Carr,Brown-Carr,Brown-Carr,Brown-Carr,True,,
batch1-0352.jpg,client_tax_id,906-94-4177,906-94-4177,906-94-4177,906-94-4177,True,,
batch1-0352.jpg,invoice_number,50554106,50554106,50554106,50554106,True,,
batch1-0352.jpg,invoice_date,12/17/2012,12/17/2012,2012-12-17,2012-12-17,True,,
batch1-0352.jpg,net_worth,"17 148,75","17 148,75",17148.75,17148.75,True,,
batch1-0352.jpg,vat,"1714,88","1714,88",1714.88,1714.88,True,,
batch1-0352.jpg,gross_worth,"18 863,63","18 863,63",18863.63,18863.63,True,,
batch1-0353.jpg,seller_name,Callahan and Sons,Callahan and Sons,Callahan and Sons,Callahan and Sons,True,,
batch1-0353.jpg,seller_tax_id,979-84-7639,979-84-7639,979-84-7639,979-84-7639,True,,
batch1-0353.jpg,client_name,King-Harris,King-Harris,King-Harris,King-Harris,True,,
batch1-0353.jpg,client_tax_id,988-88-5388,988-88-5388,988-88-5388,988-88-5388,True,,
batch1-0353.jpg,invoice_number,10819011,10819011,10819011,10819011,True,,
batch1-0353.jpg,invoice_date,02/09/2018,02/09/2018,2018-02-09,2018-02-09,True,,
batch1-0353.jpg,net_worth,"$ 510,64","510,64",510.64,510.64,True,,formatting_only
batch1-0353.jpg,vat,"$ 51,06","51,06",51.06,51.06,True,,formatting_only
batch1-0353.jpg,gross_worth,"$ 561,70","561,70",561.70,561.70,True,,formatting_only
batch1-0354.jpg,seller_name,Garcia Ltd,Garcia Ltd,Garcia Ltd,Garcia Ltd,True,,
batch1-0354.jpg,seller_tax_id,996-99-0521,996-99-0521,996-99-0521,996-99-0521,True,,
batch1-0354.jpg,client_name,"Anderson, Davidson and Webster","Anderson, Davidson and Webster","Anderson, Davidson and Webster","Anderson, Davidson and Webster",True,,
batch1-0354.jpg,client_tax_id,977-75-8747,977-75-8747,977-75-8747,977-75-8747,True,,
batch1-0354.jpg,invoice_number,49929761,49929761,49929761,49929761,True,,
batch1-0354.jpg,invoice_date,02/04/2021,02/04/2021,2021-02-04,2021-02-04,True,,
batch1-0354.jpg,net_worth,"3 459,66","3 459,66",3459.66,3459.66,True,,
batch1-0354.jpg,vat,"345,97","345,97",345.97,345.97,True,,
batch1-0354.jpg,gross_worth,"3 805,63","3 805,63",3805.63,3805.63,True,,
batch1-0355.jpg,seller_name,"Logan, Deleon and Ayers","Logan, Deleon and Ayers","Logan, Deleon and Ayers","Logan, Deleon and Ayers",True,,
batch1-0355.jpg,seller_tax_id,977-99-2004,977-99-2004,977-99-2004,977-99-2004,True,,
batch1-0355.jpg,client_name,Moyer-Jones,Moyer-Jones,Moyer-Jones,Moyer-Jones,True,,
batch1-0355.jpg,client_tax_id,907-98-7260,907-98-7260,907-98-7260,907-98-7260,True,,
batch1-0355.jpg,invoice_number,92179921,92179921,92179921,92179921,True,,
batch1-0355.jpg,invoice_date,10/11/2012,10/11/2012,2012-10-11,2012-10-11,True,,
batch1-0355.jpg,net_worth,"$ 241,92","241,92",241.92,241.92,True,,formatting_only
batch1-0355.jpg,vat,"$ 24,19","24,19",24.19,24.19,True,,formatting_only
batch1-0355.jpg,gross_worth,"$ 266,11","266,11",266.11,266.11,True,,formatting_only
batch1-0356.jpg,seller_name,Peterson LLC,Peterson LLC,Peterson LLC,Peterson LLC,True,,
batch1-0356.jpg,seller_tax_id,909-90-0060,909-90-0060,909-90-0060,909-90-0060,True,,
batch1-0356.jpg,client_name,"Williams, Yang and Jackson","Williams, Yang and Jackson","Williams, Yang and Jackson","Williams, Yang and Jackson",True,,
batch1-0356.jpg,client_tax_id,926-74-8186,926-74-8186,926-74-8186,926-74-8186,True,,
batch1-0356.jpg,invoice_number,23385207,23385207,23385207,23385207,True,,
batch1-0356.jpg,invoice_date,06/23/2012,06/23/2012,2012-06-23,2012-06-23,True,,
batch1-0356.jpg,net_worth,"240,00","240,00",240.00,240.00,True,,
batch1-0356.jpg,vat,"24,00","24,00",24.00,24.00,True,,
batch1-0356.jpg,gross_worth,"264,00","264,00",264.00,264.00,True,,
batch1-0357.jpg,seller_name,"Houston-Brooks Moore, Hill and Ford",Houston-Brooks,"Houston-Brooks Moore, Hill and Ford",Houston-Brooks,False,medium,
batch1-0357.jpg,seller_tax_id,925-75-9384,925-75-9384,925-75-9384,925-75-9384,True,,
batch1-0357.jpg,client_name,Client,"Moore, Hill and Ford",Client,"Moore, Hill and Ford",False,medium,
batch1-0357.jpg,client_tax_id,968-92-5785,968-92-5785,968-92-5785,968-92-5785,True,,
batch1-0357.jpg,invoice_number,19507687,19507687,19507687,19507687,True,,
batch1-0357.jpg,invoice_date,09/19/2018,09/19/2018,2018-09-19,2018-09-19,True,,
batch1-0357.jpg,net_worth,"55 626,97","55 626,97",55626.97,55626.97,True,,
batch1-0357.jpg,vat,"5 562,70","5 562,70",5562.70,5562.70,True,,
batch1-0357.jpg,gross_worth,"61 189,67","61 189,67",61189.67,61189.67,True,,
batch1-0358.jpg,seller_name,"Gardner, Tucker and Martinez","Gardner, Tucker and Martinez","Gardner, Tucker and Martinez","Gardner, Tucker and Martinez",True,,
batch1-0358.jpg,seller_tax_id,935-91-0274,935-91-0274,935-91-0274,935-91-0274,True,,
batch1-0358.jpg,client_name,Robbins Group,Robbins Group,Robbins Group,Robbins Group,True,,
batch1-0358.jpg,client_tax_id,968-87-5481,968-87-5481,968-87-5481,968-87-5481,True,,
batch1-0358.jpg,invoice_number,61660848,61660848,61660848,61660848,True,,
batch1-0358.jpg,invoice_date,05/30/2019,05/30/2019,2019-05-30,2019-05-30,True,,
batch1-0358.jpg,net_worth,"24,12","24,12",24.12,24.12,True,,
batch1-0358.jpg,vat,"2,41","2,41",2.41,2.41,True,,
batch1-0358.jpg,gross_worth,"26,53","26,53",26.53,26.53,True,,
batch1-0359.jpg,seller_name,"Cook, Bartlett and Giles","Cook, Bartlett and Giles","Cook, Bartlett and Giles","Cook, Bartlett and Giles",True,,
batch1-0359.jpg,seller_tax_id,974-75-0354,974-75-0354,974-75-0354,974-75-0354,True,,
batch1-0359.jpg,client_name,"Smith, Herrera and Graves","Smith, Herrera and Graves","Smith, Herrera and Graves","Smith, Herrera and Graves",True,,
batch1-0359.jpg,client_tax_id,943-83-6136,943-83-6136,943-83-6136,943-83-6136,True,,
batch1-0359.jpg,invoice_number,29534383,29534383,29534383,29534383,True,,
batch1-0359.jpg,invoice_date,05/30/2017,05/30/2017,2017-05-30,2017-05-30,True,,
batch1-0359.jpg,net_worth,"329,34","329,34",329.34,329.34,True,,
batch1-0359.jpg,vat,"32,93","32,93",32.93,32.93,True,,
batch1-0359.jpg,gross_worth,"362,27","362,27",362.27,362.27,True,,
batch1-0360.jpg,seller_name,Mclean Inc,Mclean Inc,Mclean Inc,Mclean Inc,True,,
batch1-0360.jpg,seller_tax_id,913-81-7541,913-81-7541,913-81-7541,913-81-7541,True,,
batch1-0360.jpg,client_name,Richards and Sons,Richards and Sons,Richards and Sons,Richards and Sons,True,,
batch1-0360.jpg,client_tax_id,952-95-0332,952-95-0332,952-95-0332,952-95-0332,True,,
batch1-0360.jpg,invoice_number,58126171,58126171,58126171,58126171,True,,
batch1-0360.jpg,invoice_date,08/14/2015,08/14/2015,2015-08-14,2015-08-14,True,,
batch1-0360.jpg,net_worth,"$ 30 884,30","30 884,30",30884.30,30884.30,True,,formatting_only
batch1-0360.jpg,vat,"$ 3 088,43","3 088,43",3088.43,3088.43,True,,formatting_only
batch1-0360.jpg,gross_worth,"$ 33 972,73","33 972,73",33972.73,33972.73,True,,formatting_only
batch1-0361.jpg,seller_name,Johnson-Young,Johnson-Young,Johnson-Young,Johnson-Young,True,,
batch1-0361.jpg,seller_tax_id,937-77-5283,937-77-5283,937-77-5283,937-77-5283,True,,
batch1-0361.jpg,client_name,"Garcia, Meyer and Cook","Garcia, Meyer and Cook","Garcia, Meyer and Cook","Garcia, Meyer and Cook",True,,
batch1-0361.jpg,client_tax_id,907-73-8031,907-73-8031,907-73-8031,907-73-8031,True,,
batch1-0361.jpg,invoice_number,86575728,86575728,86575728,86575728,True,,
batch1-0361.jpg,invoice_date,11/24/2014,11/24/2014,2014-11-24,2014-11-24,True,,
batch1-0361.jpg,net_worth,"906,70","906,70",906.70,906.70,True,,
batch1-0361.jpg,vat,"90,67","90,67",90.67,90.67,True,,
batch1-0361.jpg,gross_worth,"997,37","997,37",997.37,997.37,True,,
batch1-0362.jpg,seller_name,Smith-Torres,Smith-Torres,Smith-Torres,Smith-Torres,True,,
batch1-0362.jpg,seller_tax_id,927-81-6187,927-81-6187,927-81-6187,927-81-6187,True,,
batch1-0362.jpg,client_name,"Medina, Moss and Martin","Medina, Moss and Martin","Medina, Moss and Martin","Medina, Moss and Martin",True,,
batch1-0362.jpg,client_tax_id,915-85-0288,915-85-0288,915-85-0288,915-85-0288,True,,
batch1-0362.jpg,invoice_number,76628307,76628307,76628307,76628307,True,,
batch1-0362.jpg,invoice_date,05/05/2019,05/05/2019,2019-05-05,2019-05-05,True,,
batch1-0362.jpg,net_worth,"$ 3 084,91","3 084,91",3084.91,3084.91,True,,formatting_only
batch1-0362.jpg,vat,"$ 308,49","308,49",308.49,308.49,True,,formatting_only
batch1-0362.jpg,gross_worth,"$ 3 393,40","3 393,40",3393.40,3393.40,True,,formatting_only
batch1-0363.jpg,seller_name,Nichols-Powell,Nichols-Powell,Nichols-Powell,Nichols-Powell,True,,
